id,label,timeset,grain for green,weight<links>,weight<citations>,cluster,url,score<pub._year>,score<norm._citations>,diverging incentives for afforestation from carbon sequestration: an economic analysis of the eu afforestation program in the south of italy,weight<norm._citations>,weight<total_link_strength>,score<citations>,description
22.0,bakker (2012),,,78.0,6.0,5.0,,2012.0,0.2423,,0.2423,290.0,6.0,"<table><tr><td>Authors:</td><td>bakker, dce; boyd, pw; chandler, c</td></tr><tr><td>Title:</td><td>a new database to explore the findings from large-scale ocean iron enrichments experiments</td></tr><tr><td>Source:</td><td>oceanography, 25(4), 64-71</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"
23.0,bollini (2012),,,64.0,53.0,4.0,http://dx.doi.org/10.1002/chem.201203144,2012.0,2.1402,,2.1402,443.0,53.0,"<table><tr><td>Authors:</td><td>bollini, p; copeland, jr; jones, cw; kamegawa, t; kang, dy; kuwahara, y; sievers, c; yamashita, h</td></tr><tr><td>Title:</td><td>enhanced co2 adsorption over polymeric amines supported on heteroatom-incorporated sba-15 silica: impact of heteroatom type and loading on sorbent structure and adsorption performance</td></tr><tr><td>Source:</td><td>chemistry-a european journal, 18(52), 16649-16664</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"
24.0,caldecott (2012),,,112.0,14.0,4.0,http://dx.doi.org/10.1016/j.psep.2012.10.004,2012.0,0.5653,,0.5653,235.0,14.0,"<table><tr><td>Authors:</td><td>caldecott, b; mcglashan, n; shah, n; workman, m</td></tr><tr><td>Title:</td><td>high-level techno-economic assessment of negative emissions technologies</td></tr><tr><td>Source:</td><td>process safety and environmental protection, 90(6), 501-510</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"
25.0,mclaren (2012),,,72.0,28.0,4.0,http://dx.doi.org/10.1016/j.psep.2012.10.005,2012.0,1.1307,,1.1307,180.0,28.0,"<table><tr><td>Authors:</td><td>mclaren, d</td></tr><tr><td>Title:</td><td>a comparative global assessment of potential negative emissions technologies</td></tr><tr><td>Source:</td><td>process safety and environmental protection, 90(6), 489-500</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"
26.0,boyd (2012),,,83.0,22.0,5.0,http://dx.doi.org/10.1016/j.psep.2012.10.007,2012.0,0.8884,,0.8884,391.0,22.0,"<table><tr><td>Authors:</td><td>boyd, pw; collos, y; croot, p; denman, k; law, cs; riebesell, u; takeda, s; vivian, c; wallace, dwr; williamson, p</td></tr><tr><td>Title:</td><td>ocean fertilization for geoengineering: a review of effectiveness, environmental impacts and emerging governance</td></tr><tr><td>Source:</td><td>process safety and environmental protection, 90(6), 475-488</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"
27.0,boucher (2012),,,52.0,7.0,3.0,http://dx.doi.org/10.1016/j.psep.2012.10.011,2012.0,0.2827,,0.2827,83.0,7.0,"<table><tr><td>Authors:</td><td>boucher, jf; gaboury, s; tremblay, p; villeneuve, c</td></tr><tr><td>Title:</td><td>can boreal afforestation help offset incompressible ghg emissions from canadian industries?</td></tr><tr><td>Source:</td><td>process safety and environmental protection, 90(6), 459-466</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"
28.0,sculley (2012),,,19.0,22.0,4.0,http://dx.doi.org/10.1002/anie.201207495,2012.0,0.8884,,0.8884,79.0,22.0,"<table><tr><td>Authors:</td><td>sculley, jp; zhou, hc</td></tr><tr><td>Title:</td><td>enhancing amine-supported materials for ambient air capture</td></tr><tr><td>Source:</td><td>angewandte chemie-international edition, 51(51), 12660-12661</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"
30.0,faber (2012),,,41.0,2.0,1.0,,2012.0,0.0808,,0.0808,49.0,2.0,"<table><tr><td>Authors:</td><td>faber, a; syp, a; walker, mb</td></tr><tr><td>Title:</td><td>simulation of soil organic carbon in long-term experiments in poland using the dndc model</td></tr><tr><td>Source:</td><td>journal of food agriculture & environment, 10(3-4), 1224-1229</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"
31.0,izaurralde (2012),,,173.0,18.0,6.0,http://dx.doi.org/10.1890/120065,2012.0,0.7269,,0.7269,264.0,18.0,"<table><tr><td>Authors:</td><td>izaurralde, rc; king, aw; liebig, ma; post, wm; west, to</td></tr><tr><td>Title:</td><td>management opportunities for enhancing terrestrial carbon dioxide sinks</td></tr><tr><td>Source:</td><td>frontiers in ecology and the environment, 10(10), 554-561</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"
32.0,masanet (2012),,,73.0,13.0,1.0,http://dx.doi.org/10.1016/j.geoderma.2012.06.022,2012.0,0.525,,0.525,114.0,13.0,"<table><tr><td>Authors:</td><td>masanet, e; mishra, u; ogle, sm; torn, ms</td></tr><tr><td>Title:</td><td>improving regional soil carbon inventories: combining the ipcc carbon inventory method with regression kriging</td></tr><tr><td>Source:</td><td>geoderma, 189, 288-295</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"
