id,label,timeset,weight<links>,weight<citations>,cluster,url,score<pub._year>,score<norm._citations>,weight<norm._citations>,weight<total_link_strength>,score<citations>,description
49.0,chen (2001),,38.0,621.0,2.0,http://dx.doi.org/10.1126/science.1058629,2001.0,10.7858,10.7858,75.0,621.0,"<table><tr><td>Authors:</td><td>chen, ap; ci, l; fang, jy; peng, ch; zhao, sq</td></tr><tr><td>Title:</td><td>changes in forest biomass carbon storage in china between 1949 and 1998</td></tr><tr><td>Source:</td><td>science, 292(5525), 2320-2322</td></tr><tr><td>Year:</td><td>2001</td></tr></table>"
55.0,sullivan (2004),,15.0,47.0,3.0,http://dx.doi.org/10.1029/2003jc001767,2004.0,0.4196,0.4196,35.0,47.0,"<table><tr><td>Authors:</td><td>sullivan, kf; top, z; wanninkhof, r</td></tr><tr><td>Title:</td><td>air-sea gas transfer in the southern ocean</td></tr><tr><td>Source:</td><td>journal of geophysical research-oceans, 109(c8)</td></tr><tr><td>Year:</td><td>2004</td></tr></table>"
59.0,nilsson (1995),,60.0,105.0,2.0,http://dx.doi.org/10.1007/bf01091928,1995.0,3.5633,3.5633,146.0,105.0,"<table><tr><td>Authors:</td><td>nilsson, s; schopfhauser, w</td></tr><tr><td>Title:</td><td>the carbon-sequestration potential of a global afforestation program</td></tr><tr><td>Source:</td><td>climatic change, 30(3), 267-293</td></tr><tr><td>Year:</td><td>1995</td></tr></table>"
79.0,lermit (2005),,2.0,30.0,4.0,http://dx.doi.org/10.1016/j.energy.2004.07.003,2005.0,0.5602,0.5602,2.0,30.0,"<table><tr><td>Authors:</td><td>lermit, j; read, p</td></tr><tr><td>Title:</td><td>bio-energy with carbon storage (becs): a sequential decision approach to the threat of abrupt climate change</td></tr><tr><td>Source:</td><td>energy, 30(14), 2654-2671</td></tr><tr><td>Year:</td><td>2005</td></tr></table>"
91.0,gruber (2003),,23.0,58.0,3.0,http://dx.doi.org/10.1029/2003gl018458,2003.0,0.7313,0.7313,43.0,58.0,"<table><tr><td>Authors:</td><td>gruber, n; jin, x</td></tr><tr><td>Title:</td><td>offsetting the radiative benefit of ocean iron fertilization by enhancing n2o emissions</td></tr><tr><td>Source:</td><td>geophysical research letters, 30(24)</td></tr><tr><td>Year:</td><td>2003</td></tr></table>"
92.0,bindraban (2003),,8.0,46.0,4.0,http://dx.doi.org/10.1016/s0308-521x(02)00077-x,2003.0,0.58,0.58,11.0,46.0,"<table><tr><td>Authors:</td><td>bindraban, ps; luijten, jc; vleeshouwers, lm; wolf, j</td></tr><tr><td>Title:</td><td>exploratory study on the land area required for global food supply and the potential global production of bioenergy</td></tr><tr><td>Source:</td><td>agricultural systems, 76(3), 841-861</td></tr><tr><td>Year:</td><td>2003</td></tr></table>"
93.0,chang (2002),,50.0,30.0,2.0,http://dx.doi.org/10.1029/2002gb001914,2002.0,0.7802,0.7802,104.0,30.0,"<table><tr><td>Authors:</td><td>chang, ys; choi, sd; lee, k</td></tr><tr><td>Title:</td><td>large rate of uptake of atmospheric carbon dioxide by planted forest biomass in korea</td></tr><tr><td>Source:</td><td>global biogeochemical cycles, 16(4)</td></tr><tr><td>Year:</td><td>2002</td></tr></table>"
94.0,brown (2002),,41.0,90.0,2.0,http://dx.doi.org/10.1098/rsta.2002.1020,2002.0,2.3407,2.3407,57.0,90.0,"<table><tr><td>Authors:</td><td>brown, s; malhi, y; meir, p</td></tr><tr><td>Title:</td><td>forests, carbon and global climate</td></tr><tr><td>Source:</td><td>philosophical transactions of the royal society of london series a-mathematical physical and engineering sciences, 360(1797), 1567-1591</td></tr><tr><td>Year:</td><td>2002</td></tr></table>"
98.0,mosnaim (2001),,4.0,4.0,1.0,http://dx.doi.org/10.1016/s0301-4215(00)00160-9,2001.0,0.0695,0.0695,4.0,4.0,"<table><tr><td>Authors:</td><td>mosnaim, a</td></tr><tr><td>Title:</td><td>estimating co2 abatement and sequestration potentials for chile</td></tr><tr><td>Source:</td><td>energy policy, 29(8), 631-640</td></tr><tr><td>Year:</td><td>2001</td></tr></table>"
100.0,hillel (2000),,45.0,40.0,1.0,http://dx.doi.org/10.1097/00010694-200001000-00007,2000.0,0.2847,0.2847,56.0,40.0,"<table><tr><td>Authors:</td><td>hillel, d; rosenzweig, c</td></tr><tr><td>Title:</td><td>soils and global climate change: challenges and opportunities</td></tr><tr><td>Source:</td><td>soil science, 165(1), 47-56</td></tr><tr><td>Year:</td><td>2000</td></tr></table>"
