"","X1","X2","X3","technology"
"38","FERNANDES, G. W.; COELHO, M. S.; MACHADO, R. B.; FERREIRA, M. E.; AGUIAR, L. M. de S.; DIRZO, R.; SCARIOT, A.; LOPES, C. R.","2016","Afforestation of savannas: an impending ecological disaster","Afforestation and Reforestation"
"39","Zhi-lian Gong, Ya Tang","2016","Impacts of reforestation on woody species composition, species diversity and community structure in dry-hot valley of the Jinsha River, southwestern China","Afforestation and Reforestation"
"40","Keryn I. Paul, Shaun C. Cunningham, Jacqueline R. England, Stephen H. Roxburgh, Noel D. Preece, Tom Lewis, Kim Brooksbank, Debbie F. Crawford, Philip J. Polglase","2016","Managing reforestation to sequester carbon, increase biodiversity potential and minimize loss of agricultural land","Afforestation and Reforestation"
"41","Spracklen, D. V., Righelato, R.","2015","Carbon storage and sequestration of re-growing montane forests in southern Ecuador","Afforestation and Reforestation"
"42","Haim, D., White, E.M., Alig, R.J.","2015","Agriculture Afforestation for Carbon Sequestration Under Carbon Markets in the United States: Leakage Behavior from Regional Allowance Programs","Afforestation and Reforestation"
"43","Kim, Taeyoung., Langpap, Christian","2015","Agricultural landowners' response to incentives for afforestation","Afforestation and Reforestation"
"44","Ovando, P., Oviedo, J.L., Campos, P.","2015","Measuring total social income of a stone pine afforestation in Huelva (Spain)","Afforestation and Reforestation"
"45","S.C. Cunningham, R. MacNally, P.J. Baker, T.R. Cavagnaro, J. Beringer, J.R. Thomson, R.M. Thompson","2015","Balancing the environmental benefits of reforestation in agricultural regions","Afforestation and Reforestation"
"46","Matzek, Puleston, Gunn","2015","Can carbon credits fund riparian forest restoration?","Afforestation and Reforestation"
"47","Megan C. Evans, Josie Carwardine, Rod J. Fensham, Don W. Butler, Kerrie A. Wilson, Hugh P. Possingham, Tara G.Martin","2015","Carbon farming via assisted natural regeneration as a cost-effective mechanism for restoring biodiversity in agricultural landscapes","Afforestation and Reforestation"
"48","Schwaab, J, Bavay, M, Davin, E, Hagedorn, F, Husler, F, Lehning, M, Schneebeli, M, Thurig, E, Bebi, P","2015","Carbon storage versus albedo change: radiative forcing of forest expansion in temperate mountainous regions of Switzerland","Afforestation and Reforestation"
"49","Papanastasis, V.P., Bautista, S., Chouvardas, D., Mantzanas, K., Papadimitriou, M., Mayor, A.G., Koukioumi, P., Papaioannou, A., Vallejo, R.V.","2015","Comparative Assessment of Goods and Services Provided By Grazing Regulation and Reforestation in Degraded Mediterranean Rangelands","Afforestation and Reforestation"
"50","Lee, DK, Park, C, Tomlin, D","2015","Effects of land-use-change scenarios on terrestrial carbon stocks in South Korea","Afforestation and Reforestation"
"51","Wang, Y, Yan, XD, Wang, ZM","2015","Effects of regional afforestation on global climate","Afforestation and Reforestation"
"52","Greaves, ED, Marin, Y, Visaez, F, Hernandez, JV","2015","FORESTRY PLANTATIONS OF Pinus caribaea IN VENEZUELA AS A SOLAR ENERGY COLLECTOR","Afforestation and Reforestation"
"53","Wear, DN, Coulston, JW","2015","From sink to source: Regional variation in US forest carbon futures","Afforestation and Reforestation"
"54","Humpenoder, F, Popp, A, Stevanovic, M, Muller, C, Bodirsky, BL, Bonsch, M, Dietrich, JP, Lotze-Campen, H, Weindl, I, Biewald, A, Rolinski, S","2015","Land-Use and Carbon Cycle Responses to Moderate Climate Change: Implications for Land-Based Mitigation?","Afforestation and Reforestation"
"55","Hanberry, BB, Kabrick, JM, He, HS","2015","Potential tree and soil carbon storage in a major historical floodplain forest with disrupted ecological function","Afforestation and Reforestation"
"56","Carswell, FE, Mason, NWH, Overton, JM, Price, R, Burrows, LE, Allen, RB","2015","Restricting new forests to conservation lands severely constrains carbon and biodiversity gains in New Zealand","Afforestation and Reforestation"
"57","Carwardine, J, Hawkins, C, Polglase, P, Possingham, HP, Reeson, A, Renwick, AR, Watts, M, Martin, TG","2015","Spatial Priorities for Restoring Biodiverse Carbon Forests","Afforestation and Reforestation"
"58","Summers, DM, Bryan, BA, Nolan, M, Hobbs, TJ","2015","The costs of reforestation: A spatial model of the costs of establishing environmental and carbon plantings","Afforestation and Reforestation"
"59","Maraseni, TN, Cockfield, G","2015","The financial implications of converting farmland to state-supported environmental plantings in the Darling Downs region, Queensland","Afforestation and Reforestation"
"60","Shi, SW, Han, PF, Zhang, P, Ding, F, Ma, CL","2015","The Impact of Afforestation on Soil Organic Carbon Sequestration on the Qinghai Plateau, China","Afforestation and Reforestation"
"61","Locatelli, B, Catterall, CP, Imbach, P, Kumar, C, Lasco, R, Marin-Spiotta, E, Mercer, B, Powers, JS, Schwartz, N, Uriarte, M","2015","Tropical reforestation and climate change: beyond carbon","Afforestation and Reforestation"
"62","Veldman, JW, Overbeck, GE, Negreiros, D, Mahy, G, Le Stradic, S, Fernandes, GW, Durigan, G, Buisson, E, Putz, FE, Bond, WJ","2015","Where Tree Planting and Forest Expansion are Bad for Biodiversity and Ecosystem Services","Afforestation and Reforestation"
"63","R. A. Houghton, Brett Byers, Alexander A. Nassikas","2015","A role for tropical forests in stabilizing atmospheric CO2","Afforestation and Reforestation"
"64","Peng, SS, Piao, SL, Zeng, ZZ, Ciais, P, Zhou, LM, Li, LZX, Myneni, RB, Yin, Y, Zeng, H","2014","Afforestation in China cools local land surface temperature","Afforestation and Reforestation"
"65","Schirmer, J, Bull, L","2014","Assessing the likelihood of widespread landholder adoption of afforestation and reforestation projects","Afforestation and Reforestation"
"66","Nielsen, A.S.E., Plantinga, A.J., Alig, R.J.","2014","Carbon sequestration through afforestation in the United States","Afforestation and Reforestation"
"67","de Wit, HA, Bryn, A, Hofgaard, A, Karstensen, J, Kvalevag, MM, Peters, GP","2014","Climate warming feedback from mountain birch forest expansion: reduced albedo dominates carbon uptake","Afforestation and Reforestation"
"68","Haase, D, Haase, A, Rink, D","2014","Conceptualizing the nexus between urban shrinkage and ecosystem services","Afforestation and Reforestation"
"69","Humpenoder, F, Popp, A, Dietrich, JP, Klein, D, Lotze-Campen, H, Bonsch, M, Bodirsky, BL, Weindl, I, Stevanovic, M, Muller, C","2014","Investigating afforestation and bioenergy CCS as climate change mitigation strategies","Afforestation and Reforestation"
"70","Li, BL, Song, ZL, Wang, HL, Li, ZM, Jiang, PK, Zhou, GM","2014","Lithological control on phytolith carbon sequestration in moso bamboo forests","Afforestation and Reforestation"
"71","Funk, JM, Field, CB, Kerr, S, Daigneault, A","2014","Modeling the impact of carbon farming on land use in a New Zealand landscape","Afforestation and Reforestation"
"72","Xiao, JF","2014","Satellite evidence for significant biophysical consequences of the ""Grain for Green"" Program on the Loess Plateau in China","Afforestation and Reforestation"
"73","Wang, Y, Yan, XD, Wang, ZM","2014","The biogeophysical effects of extreme afforestation in modeling future climate","Afforestation and Reforestation"
"74","Paiva, D.S., De Melo Gomes, G.A.M., Fernandez, L., Andrade, J.C.S.","2014","Voluntary carbon market and its contributions to sustainable development: Analysis of the Monte Pascoal-Pau Brazil Ecological Corridor","Afforestation and Reforestation"
"75","Haim, D, White, EM, Alig, RJ","2014","Permanence of agricultural afforestation for carbon sequestration under stylized carbon markets in the.US","Afforestation and Reforestation"
"76","Meyer, A, Tarvainen, L, Nousratpour, A, Bjork, RG, Ernfors, M, Grelle, A, Klemedtsson, AK, Lindroth, A, Rantfors, M, Rutting, T, Wallin, G, Weslien, P, Klemedtsson, L","2013","A fertile peatland forest does not constitute a major greenhouse gas sink","Afforestation and Reforestation"
"77","Ausseil, AGE, Dymond, JR, Kirschbaum, MUF, Andrew, RM, Parfitt, RL","2013","Assessment of multiple ecosystem services in New Zealand at the catchment scale","Afforestation and Reforestation"
"78","Simonit, S, Perrings, C","2013","Bundling ecosystem services in the Panama Canal watershed","Afforestation and Reforestation"
"79","Farley, KA, Bremer, LL, Harden, CP, Hartsig, J","2013","Changes in carbon storage under alternative land uses in biodiverse Andean grasslands: implications for payment for ecosystem services","Afforestation and Reforestation"
"80","Smith, LJ, Torn, MS","2013","Ecological limits to terrestrial biological carbon dioxide removal","Afforestation and Reforestation"
"81","Merry, K, Siry, J, Bettinger, P, Bowker, JM","2013","Efficient assessments of urban tree planting potential within or near the southern Piedmont region of the United States","Afforestation and Reforestation"
"82","Djanibekov, U, Djanibekov, N, Khamzina, A, Bhaduri, A, Lamers, JPA, Berg, E","2013","Impacts of innovative forestry land use on rural livelihood in a bimodal agricultural system in irrigated drylands","Afforestation and Reforestation"
"83","Wang, B, Wang, D, Niu, X","2013","Past, present and future forest resources in China and the implications for carbon sequestration dynamics","Afforestation and Reforestation"
"84","Davies, GM, Gray, A, Rein, G, Legg, CJ","2013","Peat consumption and carbon loss due to smouldering wildfire in a temperate peatland","Afforestation and Reforestation"
"85","Polglase, PJ, Reeson, A, Hawkins, CS, Paul, KI, Siggins, AW, Turner, J, Crawford, DF, Jovanovic, T, Hobbs, TJ, Opie, K, Carwardine, J, Almeida, A","2013","Potential for forest carbon plantings to offset greenhouse emissions in Australia: economics and constraints to implementation","Afforestation and Reforestation"
"86","Greve, M, Reyers, B, Lykke, AM, Svenning, JC","2013","Spatial optimization of carbon-stocking projects across Africa integrating stocking potential with co-benefits and feasibility","Afforestation and Reforestation"
"87","Gong, X, Liu, YQ, Li, QL, Wei, XH, Guo, XM, Niu, DK, Zhang, WY, Zhang, JX, Zhang, L","2013","Sub-tropic degraded red soil restoration: Is soil organic carbon build-up limited by nutrients supply","Afforestation and Reforestation"
"88","Song, ZL, Liu, HY, Li, BL, Yang, XM","2013","The production of phytolith-occluded carbon in China's forests: implications to biogeochemical carbon sequestration","Afforestation and Reforestation"
"89","Nijnik, M, Pajot, G, Moffat, AJ, Slee, B","2013","An economic analysis of the establishment of forest plantations in the United Kingdom to mitigate climatic change","Afforestation and Reforestation"
