au	py	ti	section	db	full-text
Hourdequin M 	2015	The ethics of geoengineering. 	Ethics, framing and discourse analysis	not found	Hourdequin M (2015) The ethics of geoengineering. <i>The Philosophers' Magazine</i>, 11(71), 44-50; doi: 
Huttunen S &amp; Hildén M 	2014	Framing the controversial: Geoengineering in academic literature. 	Ethics, framing and discourse analysis	not found	Huttunen S &amp; Hildén M (2014) Framing the controversial: Geoengineering in academic literature. <i>Science </i>
Lockley A &amp; Coffman D’M 	2016	Distinguishing morale hazard from moral hazard in geoengineering	Ethics, framing and discourse analysis	not found	Lockley A &amp; Coffman D’M (2016)  Distinguishing morale hazard from moral hazard in geoengineering<i>. Environmental </i>
Pereira JC 	2016	Geoengineering, scientific community, and policymakers: A new proposal for the categorization of 	Ethics, framing and discourse analysis	not found	Pereira JC (2016) Geoengineering, scientific community, and policymakers: A new proposal for the categorization of 
Preston CJ 	2015	Framing an ethics of climate management for the anthropocene. 	Ethics, framing and discourse analysis	not found	Preston CJ (2015) Framing an ethics of climate management for the anthropocene. <i>Climatic Change,</i> 130, 359-369; 
Preston CJ (ed) 	2016	Climate Justice and Geoengineering. Ethics and Policy in the Atmospheric Anthropocene	Ethics, framing and discourse analysis	not found	Preston CJ (ed) (2016) <i>Climate Justice and Geoengineering. Ethics and Policy in the Atmospheric Anthropocene</i>. Rowan 
Markusson N, Venturini T, Laniado D &amp; Kaltenbrunner A 	2016	Contrasting medium and genre on Wikipedia to open 	Ethics, framing and discourse analysis	not found	Markusson N, Venturini T, Laniado D &amp; Kaltenbrunner A (2016) Contrasting medium and genre on Wikipedia to open 
Morrow DR 	2014		Ethics, framing and discourse analysis	not found	Morrow DR (2014)<a href="http://link.springer.com/article/10.1007/s10584-013-0967-1?no-access=true"> Why geoengineering is a public good, even if it is bad. </a><i>Climate Change</i>, 123, 95-100; doi: 
Skrimshire S 	2016	Rewriting mortality: A theological critique of geoengineering and de-extinction. Chapter 6 (p 103-	Ethics, framing and discourse analysis	not found	Skrimshire S (2016) Rewriting mortality: A theological critique of geoengineering and de-extinction. Chapter 6 (p 103-
Svoboda T 	2015	Geoengineering, agent-regret, and the lesser of two evils argument.  	Ethics, framing and discourse analysis	not found	Svoboda T (2015) Geoengineering, agent-regret, and the lesser of two evils argument.  <i>Environmental Ethics</i> 37 (2), 
Amelung D &amp; Funke J 	2015	Lay people's risky decisions in the climate change context: Climate engineering as a risk-	Public perceptions	not found	Amelung D &amp; Funke J (2015) Lay people's risky decisions in the climate change context: Climate engineering as a risk-
defusing strategy? In: Human and Ecological Risk Assessment, ISSN 1080-7039. 21	2015	, 2, p 533-559.	Public perceptions	not found	defusing strategy? In: <i>Human and Ecological Risk Assessment</i>, ISSN 1080-7039<i><b>. </b></i>21(2015), 2, p 533-559.<i> </i>
Bel amy R, Chilvers J &amp; Vaughan NE 	2016	Deliberative mapping of options for tackling climate change: Citizens and 	Public perceptions	not found	Bel amy R, Chilvers J &amp; Vaughan NE (2016) Deliberative mapping of options for tackling climate change: Citizens and 
Bel amy R &amp; Lezaun J 	2015	Crafting a public for geoengineering. 	Public perceptions	not found	Bel amy R &amp; Lezaun J (2015) Crafting a public for geoengineering. <i>Public Understanding of Science</i>,(online) 
Bel amy R, Palmer J &amp; Lezaun J 	2015	Public engagemenrt in the Climate Geoengineering Governance Project. 	Public perceptions	not found	Bel amy R, Palmer J &amp; Lezaun J (2015) Public engagemenrt in the Climate Geoengineering Governance Project. 
Burns WC &amp; Flegal JA 	2015	Climate geoengineering and the role of public deliberation: A comment on the US 	Public perceptions	not found	Burns WC &amp; Flegal JA (2015) Climate geoengineering and the role of public deliberation: A comment on the US 
Cairns R 	2015	Public Perceptions of Geoengineering.	Public perceptions	not found	Cairns R (2015) <i>Public Perceptions of Geoengineering.</i> https://geoengineeringourclimate.com/2015/01/27/public-
Corner A &amp; Pidgeon N 	2015	Like artificial trees? The effect of framing by natural analogy on public perceptions of 	Public perceptions	not found	Corner A &amp; Pidgeon N (2015) Like artificial trees? The effect of framing by natural analogy on public perceptions of 
Gregory R, Satterfield T &amp;  Hasel  A 	2016	. Using decision pathway surveys to inform climate engineering policy 	Public perceptions	not found	Gregory R, Satterfield T &amp;  Hasel  A (2016). Using decision pathway surveys to inform climate engineering policy 
Kahan DM, Jenkins-Smith HC, Tarantola T, Silva CL &amp; Braman D 	2015	Geoengineering and climate change 	Public perceptions	not found	Kahan DM, Jenkins-Smith HC, Tarantola T, Silva CL &amp; Braman D (2015) Geoengineering and climate change 
McLaren D, Parkhil  K, Corner A, Vaughan N &amp; Pidgeon N 	2016	Public conceptions of justice in climate engineering: 	Public perceptions	not found	McLaren D, Parkhil  K, Corner A, Vaughan N &amp; Pidgeon N (2016) Public conceptions of justice in climate engineering: 
Merk C, Pönitzsch G &amp; Rehdanz K 	2016	Knowledge about aerosol injection does not reduce individual mitigation 	Public perceptions	not found	Merk C, Pönitzsch G &amp; Rehdanz K (2016) Knowledge about aerosol injection does not reduce individual mitigation 
Payne CR, Shwom R &amp; Heaton S 	2015	Public participation and norm formation for risky technology: Adaptive 	Public perceptions	not found	Payne CR, Shwom R &amp; Heaton S (2015) Public participation and norm formation for risky technology: Adaptive 
Sugiyama M, Asayama S, Kosugi T, Ishi  A et al. 	2016	Transdisciplinary co-design of scientific research agendas: 40 	Public perceptions	not found	Sugiyama M, Asayama S, Kosugi T, Ishi  A et al. (2016) Transdisciplinary co-design of scientific research agendas: 40 
Sugiyama M, Kosugi T, Ishi  A &amp; Asayama S 	2016	Public Attitudes to Climate Engineering Research and Field 	Public perceptions	not found	Sugiyama M, Kosugi T, Ishi  A &amp; Asayama S (2016) <i>Public Attitudes to Climate Engineering Research and Field </i>
Wibeck V, Hansson A &amp; Anshelm J 	2015	Questioning the technological fix to climate change–Lay sense-making of 	Public perceptions	not found	Wibeck V, Hansson A &amp; Anshelm J (2015) Questioning the technological fix to climate change–Lay sense-making of 
Wright MJ, Teagle DAH &amp; Feetham PM 	2014		Public perceptions	not found	Wright MJ, Teagle DAH &amp; Feetham PM (2014)<a href="http://www.nature.com/nclimate/journal/v4/n2/full/nclimate2087.html"> A quantitative evaluation of the public response to climate engineering. </a>
Armeni C 	2015	Global experimentalist governance, international law and climate change technologies. 	Governance, policy and regulation	https://apsis.mcc-berlin.net/scoping/document/WOS:000362985200004	Armeni C (2015) Global experimentalist governance, international law and climate change technologies. <i>International </i>
Armeni C &amp; Redgwel  C 	2015	International legal and regulatory issues of climate geoengineering governance: 	Governance, policy and regulation	not found	Armeni C &amp; Redgwel  C (2015) International legal and regulatory issues of climate geoengineering governance: 
Armeni C &amp; Redgwel  C 	2015	Assessment of international treaties applicable, or at least adaptable, to 	Governance, policy and regulation	not found	<a name=18></a>Armeni C &amp; Redgwel  C (2015) Assessment of international treaties applicable, or at least adaptable, to 
Armeni C &amp; Redgwel  C 	2015	Geoengineering under national law: A case study of the United Kingdom, 	Governance, policy and regulation	not found	Armeni C &amp; Redgwel  C (2015) Geoengineering under national law: A case study of the United Kingdom, <i>Climate </i>
Armeni C &amp; Redgwel  C 	2015	Geoengineering under national law: A case study of Germany, 	Governance, policy and regulation	not found	Armeni C &amp; Redgwel  C (2015) Geoengineering under national law: A case study of Germany, <i>Climate Geoengineering </i>
Bel amy R 	2014	Beyond climate control: ‘Opening up’ propositions for geoengineering governance, 	Governance, policy and regulation	not found	Bel amy R (2014) Beyond climate control: ‘Opening up’ propositions for geoengineering governance, <i>Climate </i>
Bel amy R 	2015	A sociotechnical framework for governing climate engineering. 	Governance, policy and regulation	not found	Bel amy R (2015) A sociotechnical framework for governing climate engineering. <i>Science, Technology &amp; Human Values</i> 
Bodle R, Oberthuer S, Donat L., Homann G et al. 	2014	Options and Proposals for the International Governance of 	Governance, policy and regulation	not found	Bodle R, Oberthuer S, Donat L., Homann G et al. (2014) <i>Options and Proposals for the International Governance of </i>
Brent KE, McGee JE &amp; McDonald J 	2015	. The governance of geoengineering: An emerging challenge for international 	Governance, policy and regulation	not found	Brent KE, McGee JE &amp; McDonald J (2015). The governance of geoengineering: An emerging challenge for international 
Burns W &amp; Nicholson S 	2016	Governing climate engineering. Chapter 14 in 	Governance, policy and regulation	not found	Burns W &amp; Nicholson S (2016) Governing climate engineering. Chapter 14 in <i>New Earth Politics: Essays from the </i>
Chavez AE 	2016	Using legal principles to guide geoengineering deployment. 	Governance, policy and regulation	not found	Chavez AE (2016) Using legal principles to guide geoengineering deployment. <i>N.Y.U. Environmental Law Journal</i>, 24, 
Craik N 	2015	. International EIA law and geoengineering: Do emerging technologies require special rules? 	Governance, policy and regulation	not found	Craik N (2015). International EIA law and geoengineering: Do emerging technologies require special rules? <i>Climate </i>
Craik N &amp; Moore N 	2014	Disclosure-based governance for climate engineering research, 	Governance, policy and regulation	not found	Craik N &amp; Moore N (2014) Disclosure-based governance for climate engineering research, <i>CIGI Paper</i> No. 50; 
Dalby S 	2015	. Geoengineering: the next era of geopolitics? 	Governance, policy and regulation	not found	Dalby S (2015). Geoengineering: the next era of geopolitics? <i>Geography Compass</i>, 9(4), 190-201; 
Dixon T, Garrett J &amp; Kleverlaan E 	2014	Update on the London Protocol – Developments on transboundary CCS and on 	Governance, policy and regulation	not found	Dixon T, Garrett J &amp; Kleverlaan E (2014) Update on the London Protocol – Developments on transboundary CCS and on 
Doel e M 	2014		Governance, policy and regulation	not found	Doel e M (2014)<a href="http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2373751"> Geo-engineering and dispute settlement under UNCLOS and the UNFCCC: stormy seas ahead? </a>
Fleurke F 	2016	Future prospects for climate engineering within the EU legal order. 	Governance, policy and regulation	not found	Fleurke F (2016) Future prospects for climate engineering within the EU legal order. <i>European Journal of Risk </i>
Foley R, Guston DH &amp; Sarewitz D 	2015	Toward the anticipatory governance of geoengineering.  	Governance, policy and regulation	not found	Foley R, Guston DH &amp; Sarewitz D (2015) Toward the anticipatory governance of geoengineering.  <i>Working Paper; </i>
Garg V 	2014	Engineering a solution to climate change: suggestions for an international treaty regime governing 	Governance, policy and regulation	not found	Garg V (2014) Engineering a solution to climate change: suggestions for an international treaty regime governing 
Geden O 	2016	The Paris Agreement and the inherent inconsistency of climate policymaking. 	Governance, policy and regulation	not found	Geden O (2016) The Paris Agreement and the inherent inconsistency of climate policymaking. <i>WIREs Climate Change</i> 
Ginzky H &amp; Frost R 	2014	Marine geo-engineering: Legal y binding regulation under the London Protocol, 	Governance, policy and regulation	not found	Ginzky H &amp; Frost R (2014) Marine geo-engineering: Legal y binding regulation under the London Protocol, <i>Carbon and </i>
Healey P &amp; Rayner S 	2015	Key Findings from the Climate Geoengineering Governance (CGG) Project, 	Governance, policy and regulation	not found	Healey P &amp; Rayner S (2015) Key Findings from the Climate Geoengineering Governance (CGG) Project, <i>Climate </i>
Healey P &amp; Rayner S 	2015	Geoengineering and its governance. 	Governance, policy and regulation	not found	<a name=19></a>Healey P &amp; Rayner S (2015) Geoengineering and its governance. <i>Living with Environmental Change Policy and Practice </i>
Hong GH &amp;, Lee YJ 	2015	. Transitional measures to combine two global ocean dumping treaties into a single treaty. 	Governance, policy and regulation	not found	Hong GH &amp;, Lee YJ (2015). Transitional measures to combine two global ocean dumping treaties into a single treaty. 
Horton JB &amp; Reynolds JL 	2016	The international politics of climate engineering: A review and prospectus for 	Governance, policy and regulation	not found	Horton JB &amp; Reynolds JL (2016) The international politics of climate engineering: A review and prospectus for 
Hubbard M 	2015	Barometer rising: The Cartagena Protocol on biosafety as a model for holistic international 	Governance, policy and regulation	not found	Hubbard M (2015) Barometer rising: The Cartagena Protocol on biosafety as a model for holistic international 
Hubert A-M &amp; Reichwein D. 	2015	Code of conduct for responsible scientific research involving geoengineering, 	Governance, policy and regulation	not found	Hubert A-M &amp; Reichwein D. (2015) Code of conduct for responsible scientific research involving geoengineering, 
Huttunen S, Skytén E &amp; Hildén M 	2015	Emerging policy perspectives on geoengineering: an international 	Governance, policy and regulation	not found	Huttunen S, Skytén E &amp; Hildén M (2015) Emerging policy perspectives on geoengineering: an international 
IMO (International Maritime Organization) 	2016		Governance, policy and regulation	not found	IMO (International Maritime Organization) (2016)<a href="http://www.imo.org/en/OurWork/Environment/LCLP/EmergingIssues/geoengineering/Documents/Science%20day%20proceedings%20ebook%20FINAL.pdf"> <i>Proceedings of the 2015 Science Day Symposium on Marine </i></a>
Lin A 	2015	The missing pieces of geoengineering research governance. 	Governance, policy and regulation	not found	Lin A (2015) The missing pieces of geoengineering research governance. <i>Minnesota Law Review</i>, 100, 2509-2576. 
Lin AC 	2014	Geoengineering. In: Gerrard, M. &amp; Freeman, J. (eds.), 	Governance, policy and regulation	not found	Lin AC (2014) Geoengineering. In: Gerrard, M. &amp; Freeman, J. (eds.), <i>Global Climate Change and U.S. Law</i>, Second 
Lin J 	2015	. Geoengineering: An ASEAN position.  Chapter 8 in:  	Governance, policy and regulation	not found	Lin J (2015). Geoengineering: An ASEAN position.  Chapter 8 in:  <i>Adaptation to Climate Change: ASEAN and </i>
Lloyd ID &amp; Oppenheimer M 	2014	On the design of an international governance framework for geoengineering. 	Governance, policy and regulation	not found	Lloyd ID &amp; Oppenheimer M (2014) On the design of an international governance framework for geoengineering. 
Mace MJ 	2016	Mitigation commitments under the Paris Agreement and the way forward. 	Governance, policy and regulation	not found	Mace MJ (2016) Mitigation commitments under the Paris Agreement and the way forward. <i>Climate Law</i> 6, 21-39; doi 
Markusson N &amp; Pak-Hang W 	2015	Geoengineering governance, the linear model of innovation, and the 	Governance, policy and regulation	not found	Markusson N &amp; Pak-Hang W (2015) Geoengineering governance, the linear model of innovation, and the 
Moore N, Benmazhar H, Brent K, Du H et al. 	2015	Climate engineering: Early reflections on a complex conversation. 	Governance, policy and regulation	not found	Moore N, Benmazhar H, Brent K, Du H et al. (2015) Climate engineering: Early reflections on a complex conversation. 
Nicholson S &amp; Thompson M 	2015	Strange bedfel ows: Climate engineering politics in the United States. Opinion 	Governance, policy and regulation	not found	Nicholson S &amp; Thompson M (2015) Strange bedfel ows: Climate engineering politics in the United States. Opinion 
Nightingale P &amp;Cairns R 	2014	The security implications of geoengineering: Blame, imposed agreement and the 	Governance, policy and regulation	not found	Nightingale P &amp;Cairns R (2014) The security implications of geoengineering: Blame, imposed agreement and the 
Parson EA 	2014	Climate engineering in global climate governance: Implications for participation and linkage. 	Governance, policy and regulation	not found	Parson EA (2014) Climate engineering in global climate governance: Implications for participation and linkage. 
Randhawa J 	2015	Towards a collaborative geoengineering regime. 	Governance, policy and regulation	not found	Randhawa J (2015) Towards a collaborative geoengineering regime. <i>Global Policy Journal</i> 6 (2); 
Reichwein D, Hubert AM, Irvine PJ, Benduhn F &amp; Lawrence MG 	2015	State responsibility for environmental harm 	Governance, policy and regulation	not found	Reichwein D, Hubert AM, Irvine PJ, Benduhn F &amp; Lawrence MG (2015) State responsibility for environmental harm 
Reynolds J 	2014	Climate engineering field research: The favorable setting of international environmental law. 	Governance, policy and regulation	not found	Reynolds J (2014) Climate engineering field research: The favorable setting of international environmental law. 
Reynolds J 	2014	The international regulation of climate engineering: Lessons from nuclear power. 	Governance, policy and regulation	not found	Reynolds J (2014) The international regulation of climate engineering: Lessons from nuclear power. <i>Journal of </i>
Reynolds J 	2015	The international legal framework for climate engineering (	Governance, policy and regulation	not found	<a name=20></a>Reynolds J (2015) The international legal framework for climate engineering (<i>Geoengineering Our Climate? Working </i>
Reynolds J 	2015	Why the UNFCCC and CBD should refrain from regulating solar climate engineering. 	Governance, policy and regulation	not found	Reynolds J (2015) Why the UNFCCC and CBD should refrain from regulating solar climate engineering. <i>Opinion Article; </i>
Reynolds J 	2016	Special issue on regulating climate engineering in the European Union: Opening editorial. 	Governance, policy and regulation	not found	Reynolds J (2016) Special issue on regulating climate engineering in the European Union: Opening editorial. <i>European </i>
Richards J 	2015	It's getting hot in here: A look into whether ocean iron fertilization is legal y viable in the United 	Governance, policy and regulation	not found	Richards J (2015) It's getting hot in here: A look into whether ocean iron fertilization is legal y viable in the United 
Sargoni J 	2016	The best of both worlds: Maximising the legitimacy of the EU's regulation of geoengineering research. 	Governance, policy and regulation	not found	Sargoni J (2016) The best of both worlds: Maximising the legitimacy of the EU's regulation of geoengineering research. 
Somsen H 	2016	Towards a law of the mammoth? Climate engineering in contemporary EU environmental law. 	Governance, policy and regulation	not found	Somsen H (2016) Towards a law of the mammoth? Climate engineering in contemporary EU environmental law. 
Svoboda M 	2015	Geoengineering: neither geo-, nor engineering? Yale Climate Connections; 	Governance, policy and regulation	not found	Svoboda M (2015) Geoengineering: neither geo-, nor engineering? Yale Climate Connections; 
Tanimura E 	2014	Geoengineering research governance: Foundation, form, and forum.  	Governance, policy and regulation	not found	Tanimura E (2014) Geoengineering research governance: Foundation, form, and forum.  <i>Student Article,</i> <i>University of </i>
UNFCCC (United Nations Framework Convention on Climate Change) 	2015	Adoption of the Paris Agreement. 	Governance, policy and regulation	not found	UNFCCC (United Nations Framework Convention on Climate Change) (2015) <i>Adoption of the Paris Agreement. </i>21st 
Weitzman ML 	2015	A voting architecture for the governance of free-driver externalities, with application to 	Governance, policy and regulation	not found	Weitzman ML (2015) A voting architecture for the governance of free-driver externalities, with application to 
Wong P-H 	2016	Consenting to geoengineering. 	Governance, policy and regulation	not found	Wong P-H (2016) Consenting to geoengineering. <i>Philosophy &amp; Technology</i> 29(2), 173-188; doi<a href="http://philpapers.org/go.pl?id=WONCTG&proxyId=&u=http%3A%2F%2Fdx.doi.org%2F10.1007%2Fs13347-015-0203-1">: 10.1007/s13347-015-</a>
Aaheim A, Wei T &amp; Romstad B 	2016	Conflicts of economic interests by limiting global warming to +3° C. 	Governance, policy and regulation	not found	</b>Aaheim A, Wei T &amp; Romstad B (2016) Conflicts of economic interests by limiting global warming to +3° C. <i>Mitigation </i>
Aldy JE 	2015	Pricing climate risk mitigation. 	Governance, policy and regulation	not found	Aldy JE (2015) Pricing climate risk mitigation. <i>Nature Climate Change</i>, 5, 396-398; doi: 10.1038/nclimate2540:396-8. 
Anderson K 	2015	Duality in climate science.  	Governance, policy and regulation	not found	Anderson K (2015) Duality in climate science.  <i>Nature Geoscience</i>, 8, 898-900; doi: 10.1038/ngeo2559 
Averchenkova A &amp; Bassi S 	2016	Beyond the Targets: Assessing the Political Credibility of Pledges for the Paris 	Governance, policy and regulation	not found	Averchenkova A &amp; Bassi S (2016) <i>Beyond the Targets: Assessing the Political Credibility of Pledges for the Paris </i>
Boucher O, Bel assen V, Benveniste H, Ciais P et al. 	2016	Opinion: In the wake of Paris Agreement, scientists must 	Governance, policy and regulation	not found	Boucher O, Bel assen V, Benveniste H, Ciais P et al. (2016) Opinion: In the wake of Paris Agreement, scientists must 
Clark PU, Shakun JD, Marcott SA, Mix AC et al. 	2016	Consequences of twenty-first-century policy for multi-mil ennial 	Governance, policy and regulation	not found	Clark PU, Shakun JD, Marcott SA, Mix AC et al. (2016) Consequences of twenty-first-century policy for multi-mil ennial 
Committee on Climate Change 	2016	UK Climate Change Action fol owing the Paris Agreement	Governance, policy and regulation	not found	Committee on Climate Change (2016) <i>UK Climate Change Action fol owing the Paris Agreement</i>. 
Covington H 	2016	Investment consequences of the Paris climate agreement*. 	Governance, policy and regulation	not found	Covington H (2016) Investment consequences of the Paris climate agreement*. <i>Journal of Sustainable Finance &amp; </i>
Delina LL 	2016	Strategies for Rapid Climate Mitigation: Wartime Mobilisation as a Model for Action?	Governance, policy and regulation	not found	Delina LL (2016) <i>Strategies for Rapid Climate Mitigation: Wartime Mobilisation as a Model for Action?</i>  
Dorr A 	2016	Technological change and climate scenarios. 	Governance, policy and regulation	not found	<a name=21></a>Dorr A (2016) Technological change and climate scenarios. <i>Nature Climate Change</i>, 6, 638-639; doi: 
Flannery T 	2015	Atmosphere of Hope: Solutions to the Climate Crisis	Governance, policy and regulation	not found	Flannery T (2015) <i>Atmosphere of Hope: Solutions to the Climate Crisis</i>. Penguin; 288 pp 
Gattuso J-P, Magnan A, Bil é R, Cheung WWL et al. 	2015	Contrasting futures for ocean and society from different 	Governance, policy and regulation	not found	Gattuso J-P, Magnan A, Bil é R, Cheung WWL et al. (2015) Contrasting futures for ocean and society from different 
Gedden O 	2016	An actionable climate target. 	Governance, policy and regulation	not found	Gedden O (2016) An actionable climate target. <i>Nature Geosciences</i>, 9, 340-342; doi: 10.1038/ngeo2699 
Hallegatte S, Rogelj J, Al en M, Clarke L et al. 	2016	Mapping the climate change challenge. 	Governance, policy and regulation	not found	Hallegatte S, Rogelj J, Al en M, Clarke L et al. (2016) Mapping the climate change challenge. <i>Nature Climate Change, </i>6, 
Horton JB, Keith DW &amp; Honegger M 	2016	Implications of the Paris Agreement for Carbon Dioxide Removal and Solar 	Governance, policy and regulation	not found	Horton JB, Keith DW &amp; Honegger M (2016) <i>Implications of the Paris Agreement for Carbon Dioxide Removal and Solar </i>
Howes EL, Joos F, Eakin CM &amp; Gattuso J-P 	2015	An updated synthesis of the observed and projected impacts of 	Governance, policy and regulation	not found	Howes EL, Joos F, Eakin CM &amp; Gattuso J-P (2015) An updated synthesis of the observed and projected impacts of 
Huntingford C &amp; Mercado LM 	2016	High chance that current atmospheric greenhouse concentrations commit to 	Governance, policy and regulation	not found	Huntingford C &amp; Mercado LM (2016) High chance that current atmospheric greenhouse concentrations commit to 
Knutti R &amp; Rogelj J 	2015	The legacy of our CO2 emissions: a clash of scientific facts, politics and ethics. 	Governance, policy and regulation	not found	Knutti R &amp; Rogelj J (2015) The legacy of our CO2 emissions: a clash of scientific facts, politics and ethics. <i>Climatic </i>
Mace MJ 	2016	Mitigation commitments under the Paris Agreement and the way forward. 	Governance, policy and regulation	not found	Mace MJ (2016) Mitigation commitments under the Paris Agreement and the way forward. <i>Climate Law,</i> 6(1-2), 21-39; 
Magnan AK, Colombier M, Bil é R, Joos F et al. 	2016	Implications of the Paris Agreement for the ocean. 	Governance, policy and regulation	not found	Magnan AK, Colombier M, Bil é R, Joos F et al. (2016) Implications of the Paris Agreement for the ocean. <i>Nature </i>
Mil ar R, Allen M, Rogelj J &amp; Friedlingstein P 	2016	The cumulative carbon budget and its implications. 	Governance, policy and regulation	not found	Mil ar R, Allen M, Rogelj J &amp; Friedlingstein P (2016) The cumulative carbon budget and its implications. <i>Oxford Review </i>
Mitchel , D, James, R, Forster, PM, Betts RA et al. 	2016	.	Governance, policy and regulation	not found	Mitchel , D,<b> </b>James, R, Forster, PM, Betts RA et al. (2016).<b> </b>Realizing the<b> </b>impacts<b> </b>of a 1.5°C<b> </b>warmer world<b>.  </b><i>Nature </i>
Peters GP 	2016	The 'best available science' to inform 1.5°C policy choices. 	Governance, policy and regulation	https://apsis.mcc-berlin.net/scoping/document/2-s2.0-84975789650	Peters GP (2016) The 'best available science' to inform 1.5°C policy choices. <i>Nature Climate Change </i>(online); doi: 
PwC (PricewaterhouseCoopers) 	2014	Two Degrees of Separation: Ambition and Reality. Low Carbon Economy Index 	Governance, policy and regulation	not found	PwC (PricewaterhouseCoopers) (2014) <i>Two Degrees of Separation: Ambition and Reality. Low Carbon Economy Index </i>
Ricke KL, Moreno-Cruz JB, Schewe, Levermann A &amp; Caldeira K 	2016	Policy thresholds in mitigation. 	Governance, policy and regulation	not found	Ricke KL, Moreno-Cruz JB, Schewe, Levermann A &amp; Caldeira K (2016) Policy thresholds in mitigation. <i>Nature </i>
Rajaratnam B, Romano J, Tsiang M &amp; Diffenbaugh NS 	2015	Debunking the climate hiatus. 	Governance, policy and regulation	not found	Rajaratnam B, Romano J, Tsiang M &amp; Diffenbaugh NS (2015) Debunking the climate hiatus. <i>Climatic Change</i>, 133, 129-
Rockström J, Schel nhuber HJ, Hoskins B, Ramanathan V et al. 	2016	The world's biggest gamble. 	Governance, policy and regulation	not found	Rockström J, Schel nhuber HJ, Hoskins B, Ramanathan V et al. (2016) The world's biggest gamble. <i>Earth's Future</i> 
Rogelj J, den Elzen M, Höhne N, Fransen T et al. 	2016	Paris Agreement climate proposals need a boost to keep 	Governance, policy and regulation	https://apsis.mcc-berlin.net/scoping/document/WOS:000378676000026	<a name=22></a>Rogelj J, den Elzen M, Höhne N, Fransen T et al. (2016) Paris Agreement climate proposals need a boost to keep 
Rogelj J, Luderer G, Pietzcker RC, Kriegler E et al. 	2015	Energy system transformations for limiting end-of-century 	Governance, policy and regulation	not found	Rogelj J, Luderer G, Pietzcker RC, Kriegler E et al. (2015) Energy system transformations for limiting end-of-century 
Rogelj J, Schaeffer M, Friedlingstein P, Gil ett NP et al. 	2016	Differences between carbon budget estimates 	Governance, policy and regulation	not found	Rogelj J, Schaeffer M, Friedlingstein P, Gil ett NP et al. (2016) Differences between carbon budget estimates 
Rogelj J, Schaeffer M, Meinshausen M, Knutti R et al 	2015	Zero emission targets as long-term global goals for climate 	Governance, policy and regulation	https://apsis.mcc-berlin.net/scoping/document/WOS:000367180300027	Rogelj J, Schaeffer M, Meinshausen M, Knutti R et al (2015) Zero emission targets as long-term global goals for climate 
Rowel  A &amp; J van Zeben 	2016	A new status quo? The psychological impact of the Paris Agreement on climate change. 	Governance, policy and regulation	not found	Rowel  A &amp; J van Zeben (2016) A new status quo? The psychological impact of the Paris Agreement on climate change. 
Rozenberg J, Davis SJ, Narloch U &amp; Hallegate S 	2015	Climate constraints on the carbon intensity of economic growth.  	Governance, policy and regulation	https://apsis.mcc-berlin.net/scoping/document/WOS:000367141000034	Rozenberg J, Davis SJ, Narloch U &amp; Hallegate S (2015) Climate constraints on the carbon intensity of economic growth.  
Sachs JD, Schmidt-Traub G &amp; Wil iams J 	2016	Pathway to zero emissions. 	Governance, policy and regulation	not found	Sachs JD, Schmidt-Traub G &amp; Wil iams J (2016) Pathway to zero emissions. <i>Nature Geoscience</i> (online) 
Sanderson BM, O’Neil  BC &amp; Tebaldi C 	2016	What would it take to achieve the Paris temperature targets? 	Governance, policy and regulation	not found	Sanderson BM, O’Neil  BC &amp; Tebaldi C (2016) What would it take to achieve the Paris temperature targets? 
Seneviratne SI, Donat MG, Pitman AJ, Knutti R &amp; Wilby RL 	2016	Al owable CO2 emissions based on regional and 	Governance, policy and regulation	not found	Seneviratne SI, Donat MG, Pitman AJ, Knutti R &amp; Wilby RL (2016) Al owable CO2 emissions based on regional and 
Seneviratne SI, Donat MG, Muel er B &amp; Alexander LV 	2014	No pause in the increase of hot temperature extremes. 	Governance, policy and regulation	not found	Seneviratne SI, Donat MG, Muel er B &amp; Alexander LV (2014) No pause in the increase of hot temperature extremes. 
Schleussner CF, Rogelj J, Schaeffer M, Lissner T et al. 	2016	Science and policy characteristics of the Paris Agreement 	Governance, policy and regulation	not found	Schleussner CF, Rogelj J, Schaeffer M, Lissner T et al. (2016) Science and policy characteristics of the Paris Agreement 
Steffen W, Richardson K, Rockström J, Cornel  SE et al. 	2015	Planetary boundaries: guiding human development on a 	Governance, policy and regulation	not found	Steffen W, Richardson K, Rockström J, Cornel  SE et al. (2015) Planetary boundaries: guiding human development on a 
Tavoni M, Kriegler E, Riahi K, Van Vuuren DP et al 	2015	Post-2020 climate agreements in the major economies 	Governance, policy and regulation	https://apsis.mcc-berlin.net/scoping/document/WOS:000350327700019	Tavoni M, Kriegler E, Riahi K, Van Vuuren DP et al (2015) Post-2020 climate agreements in the major economies 
Thornton PK, Ericksen PJ, Herrero M &amp; Challinor AJ 	2014	Climate variability and vulnerability to climate change: a 	Governance, policy and regulation	not found	Thornton PK, Ericksen PJ, Herrero M &amp; Challinor AJ (2014) Climate variability and vulnerability to climate change: a 
Trenberth KE 	2015	Has there been a hiatus? 	Governance, policy and regulation	not found	Trenberth KE (2015) Has there been a hiatus? <i>Science</i> 349, 691-692; doi: 10.1126/science.aac9225 
