au	py	ti	section	db	full-text	found
Morison J, Matthews R, Mil er G, Perks M et al. 	2012	. 	Afforestation and Reforestation	not found	Morison J, Matthews R, Mil er G, Perks M et al. (2012). Understanding the carbon and greenhouse gas balance of	0
Nabuurs G-J, Delacote P, El ison D, Hanewinkel M et al. 	2015	A New Role for Forests and the Forest Sector in the EU 	Afforestation and Reforestation	not found	Nabuurs G-J, Delacote P, El ison D, Hanewinkel M et al. (2015) A New Role for Forests and the Forest Sector in the EU	0
Naudts K, Chen Y, McGrath MJ, Ryder J et al. 	2016	Europe’s forest management did not mitigate climate warming. 	Afforestation and Reforestation	not found	Naudts K, Chen Y, McGrath MJ, Ryder J et al. (2016) Europe’s forest management did not mitigate climate warming.	0
Openshaw K 	2015	Woody biomasss: its use and a viable mitigation option for carbon capture and storage. 	Afforestation and Reforestation	not found	Openshaw K (2015) Woody biomasss: its use and a viable mitigation option for carbon capture and storage. African	0
Poorter L, Bongers F, Aide TM, Zambrano AMA et al. 	2016	Biomass resilience of Neotropical secondary forests.  	Afforestation and Reforestation	https://apsis.mcc-berlin.net/scoping/document/WOS:000369916700037	Poorter L, Bongers F, Aide TM, Zambrano AMA et al. (2016) Biomass resilience of Neotropical secondary forests.	2
Sonntag S, Pongratz J, Reick CH &amp; Schmidt H 	2016	Reforestation in a high-CO2 world—Higher mitigation potential 	Afforestation and Reforestation	https://apsis.mcc-berlin.net/scoping/document/WOS:000380910100076	Sonntag S, Pongratz J, Reick CH &amp; Schmidt H (2016) Reforestation in a high-CO2 world—Higher mitigation potential	1
Summers DM, Bryan BA, Nolan M &amp; Hobbs TJ 	2016	The costs of reforestation: A spatial model of the costs of 	Afforestation and Reforestation	not found	Summers DM, Bryan BA, Nolan M &amp; Hobbs TJ (2016) The costs of reforestation: A spatial model of the costs of	0
Syktus JI &amp; McAlpine CA 	2016	More than carbon sequestration: Biophysical climate benefits of restored savanna 	Afforestation and Reforestation	https://apsis.mcc-berlin.net/scoping/document/WOS:000378949300001	Syktus JI &amp; McAlpine CA (2016) More than carbon sequestration: Biophysical climate benefits of restored savanna	1
van der Sleen P, Groenendijk, Vlam M, Anten NPR et al. 	2015	No growth stimulation of tropical trees by 150 years of 	Afforestation and Reforestation	https://apsis.mcc-berlin.net/scoping/document/2-s2.0-84926321175	van der Sleen P, Groenendijk, Vlam M, Anten NPR et al. (2015) No growth stimulation of tropical trees by 150 years of	1
Abdalla K, Chivenge P, Ciais P &amp; Chaplot V 	2015	No-til age lessens soil CO2 emissions the most under arid and sandy 	Soils_Biochar	not found	Abdalla K, Chivenge P, Ciais P &amp; Chaplot V (2015) No-til age lessens soil CO2 emissions the most under arid and sandy	0
Agostini F, Gregory AS &amp; Richter GM 	2015	Carbon sequestration by perennial energy crops: is the jury stil  out?. 	Soils_Biochar	not found	Agostini F, Gregory AS &amp; Richter GM (2015) Carbon sequestration by perennial energy crops: is the jury stil  out?.	0
An C &amp; Huang G 	2015	Environmental concern on biochar: capture, then what? 	Soils_Biochar	not found	An C &amp; Huang G (2015) Environmental concern on biochar: capture, then what? Environmental Earth Sciences 74,	0
Bozzi E, Genesio L, Toscano P, Pieri M &amp; Miglietta F 	2015	Mimicking biochar-albedo feedback in complex 	Soils_Biochar	https://apsis.mcc-berlin.net/scoping/document/WOS:000366999400015	Bozzi E, Genesio L, Toscano P, Pieri M &amp; Miglietta F (2015) Mimicking biochar-albedo feedback in complex	2
Buss W, Mašek O, Graham M &amp; Wüst D 	2015	Inherent organic compounds in biochar – Their content, composition 	Soils_Biochar	not found	Buss W, Mašek O, Graham M &amp; Wüst D (2015) Inherent organic compounds in biochar – Their content, composition	0
Cernansky R 	2015	State-of-the-art-soil.  	Soils_Biochar	not found	Cernansky R (2015) State-of-the-art-soil.  Nature 517,258-260	0
Devi P &amp; Saroha AK 	2014	Risk analysis of pyrolised biochar made from paper mil  effluent treatment plant sludge for 	Soils_Biochar	not found	Devi P &amp; Saroha AK (2014) Risk analysis of pyrolised biochar made from paper mil  effluent treatment plant sludge for	0
Genesio L, Vaccari FP &amp; Miglietta F 	2016	Black carbon aerosol from biochar threats its negative emission potential	Soils_Biochar	https://apsis.mcc-berlin.net/scoping/document/WOS:000378722000001	Genesio L, Vaccari FP &amp; Miglietta F (2016) Black carbon aerosol from biochar threats its negative emission potential.	1
Guo M, He Z &amp; Uchimiya SM (eds) 	2016	Agricultural and Environmental applications of Biochar: Advances and 	Soils_Biochar	not found	Guo M, He Z &amp; Uchimiya SM (eds) (2016) Agricultural and Environmental applications of Biochar: Advances and	0
Han X, Sun X, Wang C, Wu M et al. 	2016	Mitigating methane emission from paddy soil with rice-straw biochar 	Soils_Biochar	https://apsis.mcc-berlin.net/scoping/document/WOS:000374492100001	Han X, Sun X, Wang C, Wu M et al. (2016) Mitigating methane emission from paddy soil with rice-straw biochar	2
Herath I, Kumarathilaka P, Navaratne A, Rajakaruna N et al. 	2015	Immobilization and phytotoxicity reduction of 	Soils_Biochar	not found	Herath I, Kumarathilaka P, Navaratne A, Rajakaruna N et al. (2015) Immobilization and phytotoxicity reduction of	0
He Y, Trumbore SE, Torn MS, Harden JW et al 	2016	Radiocarbon constraints imply reduced carbon uptake by soils 	Soils_Biochar	https://apsis.mcc-berlin.net/scoping/document/WOS:000383708700040	He Y, Trumbore SE, Torn MS, Harden JW et al (2016) Radiocarbon constraints imply reduced carbon uptake by soils	2
Jeffery S, Bezemer TM, Cornelissen G, Kuyper TW et al 	2015	The way forward in biochar research: targeting trade-	Soils_Biochar	https://apsis.mcc-berlin.net/scoping/document/WOS:000346726500001	Jeffery S, Bezemer TM, Cornelissen G, Kuyper TW et al (2015) The way forward in biochar research: targeting trade-	1
Jeffery S, Verheijen FG, Kammann C &amp; Abalos D 	2016	Biochar effects on methane emissions from soils: A meta-	Soils_Biochar	https://apsis.mcc-berlin.net/scoping/document/WOS:000383300200026	Jeffery S, Verheijen FG, Kammann C &amp; Abalos D (2016) Biochar effects on methane emissions from soils: A meta-	1
Jiang X, Denef K, Stewart C &amp; Cotrufo MF 	2016	Controls and dynamics of biochar decomposition and soil microbial 	Soils_Biochar	not found	Jiang X, Denef K, Stewart C &amp; Cotrufo MF (2016) Controls and dynamics of biochar decomposition and soil microbial	0
Jones DL &amp; Quil iam RS 	2014	Metal contaminated biochar and wood ash negatively affect plant growth and soil 	Soils_Biochar	not found	Jones DL &amp; Quil iam RS (2014) Metal contaminated biochar and wood ash negatively affect plant growth and soil	0
Ladygina N &amp; Rineau F 	2015	Biochar and Soil Biota	Soils_Biochar	not found	Ladygina N &amp; Rineau F (2015) Biochar and Soil Biota. CRC Press, 278 pp	0
Laghari M, Naidu R, Xiao B, Hu Z et al. 	2016	Recent developments in biochar as an effective tool for agricultural soil 	Soils_Biochar	https://apsis.mcc-berlin.net/scoping/document/WOS:000387351200002	Laghari M, Naidu R, Xiao B, Hu Z et al. (2016) Recent developments in biochar as an effective tool for agricultural soil	1
Lal R 	2016	Biochar and soil carbon sequestration.  In:  	Soils_Biochar	not found	Lal R (2016) Biochar and soil carbon sequestration.  In:  Agricultural and Environmental Applications of Biochar:	0
Lehmann J, Abiven S, Kleber M, Pan G et al. 	2015	Persistence of biochar in soil.  Chapter 10 (p 235-282) in: 	Soils_Biochar	not found	Lehmann J, Abiven S, Kleber M, Pan G et al. (2015) Persistence of biochar in soil.  Chapter 10 (p 235-282) in: Biochar	0
Lehmann J &amp; Joseph S (eds) 	2015	Biochar for Environmental Management: Science, Technology and Implementation	Soils_Biochar	not found	Lehmann J &amp; Joseph S (eds) (2015) Biochar for Environmental Management: Science, Technology and Implementation	0
Liu X, Ye Y, Liu Y, Zhang A, Zhang X et al. 	2014	Sustainable biochar effects for low carbon crop production: A 5 crop 	Soils_Biochar	https://apsis.mcc-berlin.net/scoping/document/WOS:000340311200003	Liu X, Ye Y, Liu Y, Zhang A, Zhang X et al. (2014) Sustainable biochar effects for low carbon crop production: A 5 crop	1
Ok YS, Uchimiya SM, Chang SX &amp; Bolan N 	2015	Biochar: Production, Characterization and Applications	Soils_Biochar	not found	Ok YS, Uchimiya SM, Chang SX &amp; Bolan N (2015) Biochar: Production, Characterization and Applications. CRC Press,	0
Paustian K, Lehmann J, Ogle S, Reay D et al. 	2016	Climate-smart soils. 	Soils_Biochar	not found	Paustian K, Lehmann J, Ogle S, Reay D et al. (2016) Climate-smart soils. Nature, 532, 49-57; doi: 10.1038/nature17174	0
Powlson DS, Stirling CM, Jat ML, Gerard BG et al. 	2014	Limited potential of no-til  agriculture for climate change 	Soils_Biochar	https://apsis.mcc-berlin.net/scoping/document/WOS:000341568200019	Powlson DS, Stirling CM, Jat ML, Gerard BG et al. (2014) Limited potential of no-til  agriculture for climate change	1
Puga AP, Abreu CA, Melo LC &amp; Beesley L 	2015	Biochar application to a contaminated soil reduces the availability and 	Soils_Biochar	not found	Puga AP, Abreu CA, Melo LC &amp; Beesley L (2015) Biochar application to a contaminated soil reduces the availability and	0
Rowe RL, Keith AM, Elias D, Dondini M, Smith P, Oxley J &amp; McNamara NP 	2016	Initial soil C and land-use history 	Soils_Biochar	not found	Rowe RL, Keith AM, Elias D, Dondini M, Smith P, Oxley J &amp; McNamara NP (2016) Initial soil C and land-use history	0
Rumpel C, Leifield J, Santin C &amp; Doerr S 	2015	Movement of biochar in the environment.  Chapter 11 (p 283-299) in 	Soils_Biochar	not found	Rumpel C, Leifield J, Santin C &amp; Doerr S (2015) Movement of biochar in the environment.  Chapter 11 (p 283-299) in	0
Rutigliano FA, Romano M, Marzaioli R et al 	2014		Soils_Biochar	not found	Rutigliano FA, Romano M, Marzaioli R et al (2014) Effect of biochar addition on soil microbial community in a wheat	0
Saarnio S 	2016	Impacts of biochar amendment on greenhouse gas emissions from agricultural soils. In: 	Soils_Biochar	not found	Saarnio S (2016) Impacts of biochar amendment on greenhouse gas emissions from agricultural soils. In: Agricultural	0
Sackett TE, Basiliko N, Noyce GL, Winsborough C, Schurman J, Ikeda C &amp; Thomas SC 	2015	Soil and greenhouse gas 	Soils_Biochar	https://apsis.mcc-berlin.net/scoping/document/WOS:000359384500012	Sackett TE, Basiliko N, Noyce GL, Winsborough C, Schurman J, Ikeda C &amp; Thomas SC (2015) Soil and greenhouse gas	1
Schmidt HP, Pandit BH, Martinsen V, Cornelissen G et al. 	2015	Fourfold increase in pumpkin yield in response to low-	Soils_Biochar	not found	Schmidt HP, Pandit BH, Martinsen V, Cornelissen G et al. (2015) Fourfold increase in pumpkin yield in response to low-	0
Shackley S, Ruysschaert G, Zwart K &amp; Glaser B (eds) 	2016	Biochar in European Soils and Agriculture: Science and 	Soils_Biochar	https://apsis.mcc-berlin.net/scoping/document/2-s2.0-84967145619	Shackley S, Ruysschaert G, Zwart K &amp; Glaser B (eds) (2016) Biochar in European Soils and Agriculture: Science and	2
Singla A &amp; Inubushi K 	2014		Soils_Biochar	not found	Singla A &amp; Inubushi K (2014) Effect of biochar on CH4 and N2O emission from soils vegetated with paddy.  Paddy	0
Sizmur T, Quil iam R, Puga AP, Moreno-Jiménez E et al. 	2016	Application of biochar for soil remediation. In: 	Soils_Biochar	not found	Sizmur T, Quil iam R, Puga AP, Moreno-Jiménez E et al. (2016) Application of biochar for soil remediation. In:	0
Smith P 	2016	Soil carbon sequestration and biochar as negative emission technologies. 	Soils_Biochar	https://apsis.mcc-berlin.net/scoping/document/WOS:000370491400029	Smith P (2016) Soil carbon sequestration and biochar as negative emission technologies. Global Change Biology,	1
Thies JE, Ril ig MC &amp; Graber ER 	2016	Biochar effects on the abundance, activity and diversity of the soil biota.  In: 	Soils_Biochar	not found	Thies JE, Ril ig MC &amp; Graber ER (2016) Biochar effects on the abundance, activity and diversity of the soil biota.  In:	0
Viger M, Hancock RD, Miglietta F &amp; Taylor G 	2014	More plant growth but less plant defence? First global gene 	Soils_Biochar	not found	Viger M, Hancock RD, Miglietta F &amp; Taylor G (2014) More plant growth but less plant defence? First global gene	0
Wang J, Xiong Z &amp; Kuzyakov Y 	2016	Biochar stability in soil: meta-analysis of decomposition and priming effects. 	Soils_Biochar	https://apsis.mcc-berlin.net/scoping/document/WOS:000374060500001	Wang J, Xiong Z &amp; Kuzyakov Y (2016) Biochar stability in soil: meta-analysis of decomposition and priming effects. GCB	1
Wiltshire A &amp; Davies-Barnard T 	2015	Planetary Limits to BECCS Negative Emissions	Soils_Biochar	not found	Wiltshire A &amp; Davies-Barnard T (2015) Planetary Limits to BECCS Negative Emissions. AVOID 2 report, ref WPD2a.	0
Wu M, Han X, Zhong T, Yuan M &amp; Wu W 	2016	. Soil organic carbon content affects the stability of biochar in paddy 	Soils_Biochar	not found	Wu M, Han X, Zhong T, Yuan M &amp; Wu W (2016). Soil organic carbon content affects the stability of biochar in paddy	0
Xie T, Reddy KR , Wang C, Yargicoglu &amp; Spokas K 	2015	Characteristics and applications of biochar for environmental 	Soils_Biochar	not found	Xie T, Reddy KR , Wang C, Yargicoglu &amp; Spokas K (2015) Characteristics and applications of biochar for environmental	0
Zhang X, Luo Y, Mül er K, Chen J et al. 	2016	research and application of biochar in China. In: 	Soils_Biochar	not found	Zhang X, Luo Y, Mül er K, Chen J et al. (2016) research and application of biochar in China. In: Agricultural and	0
Zhang A, Bian R, Li L, Wang X et al. 	2015	Enhanced rice production but greatly reduced carbon emission following 	Soils_Biochar	https://apsis.mcc-berlin.net/scoping/document/WOS:000365816000063	Zhang A, Bian R, Li L, Wang X et al. (2015) Enhanced rice production but greatly reduced carbon emission following	1
Zhang D, Yan M, Niu Y, Liu X et al. 	2016	Is current biochar research addressing global soil constraints for sustainable 	Soils_Biochar	https://apsis.mcc-berlin.net/scoping/document/WOS:000377818700003	Zhang D, Yan M, Niu Y, Liu X et al. (2016) Is current biochar research addressing global soil constraints for sustainable	2
Zheng W, Holm N &amp; Spokas KA 	2016	Research and application of biochar in North America. In: 	Soils_Biochar	not found	Zheng W, Holm N &amp; Spokas KA (2016) Research and application of biochar in North America. In: Agricultural and	0
Cook JB, Amirova SR, Roehl EA, Comet PA &amp; Tulaykova TV 	2016	An approach to removing large quantities of 	Enhanced weathering_ocean alkalinisation	not found	Cook JB, Amirova SR, Roehl EA, Comet PA &amp; Tulaykova TV (2016) An approach to removing large quantities of	0
Cressey D 	2014	Rock’s power to mop up carbon revisited. 	Enhanced weathering_ocean alkalinisation	not found	Cressey D (2014) Rock’s power to mop up carbon revisited. Nature 505, 464.	0
Fasihnikoutalab MH, Asadi A, Huat BK, Ball RJ et al. 	2016	Utilisation of carbonating olivine for sustainable soil 	Enhanced weathering_ocean alkalinisation	not found	Fasihnikoutalab MH, Asadi A, Huat BK, Ball RJ et al. (2016) Utilisation of carbonating olivine for sustainable soil	0
Fasihnikoutalab MH, Westgate P, Huat BBK, Asadi A et al. 	2015	New insights into potential capacity of olivine in 	Enhanced weathering_ocean alkalinisation	not found	Fasihnikoutalab MH, Westgate P, Huat BBK, Asadi A et al. (2015) New insights into potential capacity of olivine in	0
Feng EY, Kel er DP, Koeve W &amp; Oschlies A 	2016	Could artificial ocean alkalinization protect tropical coral ecosystems 	Enhanced weathering_ocean alkalinisation	https://apsis.mcc-berlin.net/scoping/document/WOS:000380817000008	Feng EY, Kel er DP, Koeve W &amp; Oschlies A (2016) Could artificial ocean alkalinization protect tropical coral ecosystems	1
González MF &amp; Ilyina T 	2016	Impacts of artificial ocean alkalinization on the carbon cycle and climate in Earth system 	Enhanced weathering_ocean alkalinisation	not found	González MF &amp; Ilyina T (2016) Impacts of artificial ocean alkalinization on the carbon cycle and climate in Earth system	0
Hauck J, Köhler P, Wolf-Gladrow D &amp; Völker C 	2016	Iron fertilisation and century-scale effects of open ocean 	Enhanced weathering_ocean alkalinisation	https://apsis.mcc-berlin.net/scoping/document/WOS:000371488300009	Hauck J, Köhler P, Wolf-Gladrow D &amp; Völker C (2016) Iron fertilisation and century-scale effects of open ocean	1
Moosdorf N, Renforth P &amp; Hartmann J 	2014	Carbon dioxide efficiency of terrestrial enhanced weathering. 	Enhanced weathering_ocean alkalinisation	https://apsis.mcc-berlin.net/scoping/document/WOS:000335720100022	Moosdorf N, Renforth P &amp; Hartmann J (2014) Carbon dioxide efficiency of terrestrial enhanced weathering.	1
Renforth P, von Strandmann PP &amp; Henderson GM 	2015	The dissolution of olivine added to soil: Implications for 	Enhanced weathering_ocean alkalinisation	https://apsis.mcc-berlin.net/scoping/document/WOS:000360654200010	Renforth P, von Strandmann PP &amp; Henderson GM (2015) The dissolution of olivine added to soil: Implications for	1
Sanna A, Uibu M, Caramanna G, Kuusik R &amp; Maroto-Valer MM 	2014	A review of mineral carbonation technologies to 	Enhanced weathering_ocean alkalinisation	https://apsis.mcc-berlin.net/scoping/document/WOS:000344552500004	Sanna A, Uibu M, Caramanna G, Kuusik R &amp; Maroto-Valer MM (2014) A review of mineral carbonation technologies to	2
Schuiling RD 	2014	A natural strategy against climate change. 	Enhanced weathering_ocean alkalinisation	not found	Schuiling RD (2014) A natural strategy against climate change. Journal of Chemical Engineering &amp; Chemistry Research	0
ten Berge HFM, van der Meer HG, Steenhuizen JW, Goedhart PW et al. 	2012	Olivine weathering in soil, and its 	Enhanced weathering_ocean alkalinisation	https://apsis.mcc-berlin.net/scoping/document/WOS:000307378500011	ten Berge HFM, van der Meer HG, Steenhuizen JW, Goedhart PW et al. (2012) Olivine weathering in soil, and its	1
Taylor LL, Quirk J, Thorley RM, Kharecha PA et al. 	2016	Enhanced weathering strategies for stabilizing climate and 	Enhanced weathering_ocean alkalinisation	https://apsis.mcc-berlin.net/scoping/document/WOS:000373060000019	Taylor LL, Quirk J, Thorley RM, Kharecha PA et al. (2016) Enhanced weathering strategies for stabilizing climate and	1
Thorley RMS, Taylor LL, Banwart SA, Leake JR &amp; Beerling DJ 	2014	The role of forest trees and their mycorrhizal fungi 	Enhanced weathering_ocean alkalinisation	not found	Thorley RMS, Taylor LL, Banwart SA, Leake JR &amp; Beerling DJ (2014) The role of forest trees and their mycorrhizal fungi	0
Washbourne CL, Lopez-Capel E, Renforth P, Ascough PL &amp; Manning DA 	2015	Rapid removal of atmospheric CO2 by 	Enhanced weathering_ocean alkalinisation	https://apsis.mcc-berlin.net/scoping/document/WOS:000354155800023	Washbourne CL, Lopez-Capel E, Renforth P, Ascough PL &amp; Manning DA (2015) Rapid removal of atmospheric CO2 by	2
Batten SD &amp; Gower JFR 	2014	Did the iron fertilization near Haida Gwai  in 2012 affect the pelagic lower trophic level 	Ocean fertilization_Enhanced upwelling	https://apsis.mcc-berlin.net/scoping/document/WOS:000339951300003	Batten SD &amp; Gower JFR (2014) Did the iron fertilization near Haida Gwai  in 2012 affect the pelagic lower trophic level	1
Branson MC 	2014	A green herring: How current ocean fertilization regulation distracts from geoengineering 	Ocean fertilization_Enhanced upwelling	not found	Branson MC (2014) A green herring: How current ocean fertilization regulation distracts from geoengineering	0
Buck HJ 	2014	Vil age Science Meets Global Discourse: The Haida Salmon Restoration Corporation’s Ocean Iron 	Ocean fertilization_Enhanced upwelling	not found	Buck HJ (2014) Vil age Science Meets Global Discourse: The Haida Salmon Restoration Corporation’s Ocean Iron	0
Clarke WS 	2015	Environmental Solutions via Buoyant Flake Fertilization	Ocean fertilization_Enhanced upwelling	not found	Clarke WS (2015) Environmental Solutions via Buoyant Flake Fertilization. Brief for GSDR.	0
Costa KM, McManus JF, Anderson RF, Ren H et al. 	2016	No iron fertilization in the equatorial Pacific Ocean during 	Ocean fertilization_Enhanced upwelling	not found	Costa KM, McManus JF, Anderson RF, Ren H et al. (2016) No iron fertilization in the equatorial Pacific Ocean during	0
Dotto L &amp; Pelkey B 	2015	Assessing scientific legitimacy. The case of marine geoengineering. 	Ocean fertilization_Enhanced upwelling	not found	Dotto L &amp; Pelkey B (2015) Assessing scientific legitimacy. The case of marine geoengineering. Policy Brief, CIGI	0
Duprat LP, Bigg GR &amp; Wilton DJ 	2016	Enhanced Southern Ocean marine productivity due to fertilization by giant 	Ocean fertilization_Enhanced upwelling	not found	Duprat LP, Bigg GR &amp; Wilton DJ (2016) Enhanced Southern Ocean marine productivity due to fertilization by giant	0
Jones ISF 	2014	The cost of carbon management using ocean nourishment. 	Ocean fertilization_Enhanced upwelling	https://apsis.mcc-berlin.net/scoping/document/WOS:000346110900004	Jones ISF (2014) The cost of carbon management using ocean nourishment. International Journal of Climate Change	1
Kearney KA, Tommasi D &amp; Stock C 	2015	Simulated ecosystem response to volcanic iron fertilization in the subarctic 	Ocean fertilization_Enhanced upwelling	https://apsis.mcc-berlin.net/scoping/document/WOS:000362359900001	Kearney KA, Tommasi D &amp; Stock C (2015) Simulated ecosystem response to volcanic iron fertilization in the subarctic	1
Kwaitkowski L, Ricke KL &amp; Caldeira K 	2015	Atmospheric consequences of disruption of the ocean thermocline. 	Ocean fertilization_Enhanced upwelling	not found	Kwaitkowski L, Ricke KL &amp; Caldeira K (2015) Atmospheric consequences of disruption of the ocean thermocline.	0
Lawrence MW 	2014	Efficiency of carbon sequestration by adding reactive nitrogen in ocean fertilization. 	Ocean fertilization_Enhanced upwelling	https://apsis.mcc-berlin.net/scoping/document/WOS:000343368800002	Lawrence MW (2014) Efficiency of carbon sequestration by adding reactive nitrogen in ocean fertilization.	1
Mariyamma P, Yan S, Tyagi R, Surampalli R &amp; Zhang T 	2015	Enhanced carbon sequestration in oceans: principles, 	Ocean fertilization_Enhanced upwelling	not found	Mariyamma P, Yan S, Tyagi R, Surampalli R &amp; Zhang T (2015) Enhanced carbon sequestration in oceans: principles,	0
Martínez-Garcia A, Sigman DM, Ren H, Anderson RF et al. 	2014	Iron fertilization of the subantarctic Southern Ocean 	Ocean fertilization_Enhanced upwelling	not found	Martínez-Garcia A, Sigman DM, Ren H, Anderson RF et al. (2014) Iron fertilization of the subantarctic Southern Ocean	0
Mélançon J, Levasseur M, Lizotte M, Delmelle P et al. 	2014	Early response of the northeast subarctic Pacific plankton 	Ocean fertilization_Enhanced upwelling	not found	Mélançon J, Levasseur M, Lizotte M, Delmelle P et al. (2014) Early response of the northeast subarctic Pacific plankton	0
Pan Y, Fan W, Huang T-H, Wang S-L &amp; Chen C-TA 	2015	Evaluation of the sinks and sources of atmospheric CO2 by 	Ocean fertilization_Enhanced upwelling	https://apsis.mcc-berlin.net/scoping/document/WOS:000350513900072	Pan Y, Fan W, Huang T-H, Wang S-L &amp; Chen C-TA (2015) Evaluation of the sinks and sources of atmospheric CO2 by	1
Pan Y, Fan W, Zhang D, Chen J et al. 	2016	Research progress in artificial upwel ing and its potential environmental 	Ocean fertilization_Enhanced upwelling	https://apsis.mcc-berlin.net/scoping/document/WOS:000371281100002	Pan Y, Fan W, Zhang D, Chen J et al. (2016) Research progress in artificial upwel ing and its potential environmental	1
Quéroué F, Sarthou G, Planquette HF, Bucciarel i E et al. 	2015	High variability of dissolved iron concentrations in the 	Ocean fertilization_Enhanced upwelling	not found	Quéroué F, Sarthou G, Planquette HF, Bucciarel i E et al. (2015) High variability of dissolved iron concentrations in the	0
Robinson J, Popova EE, Srokosz MA &amp; Yool A 	2016	A tale of three islands: Downstream natural iron fertilization in the 	Ocean fertilization_Enhanced upwelling	https://apsis.mcc-berlin.net/scoping/document/WOS:000383466500031	Robinson J, Popova EE, Srokosz MA &amp; Yool A (2016) A tale of three islands: Downstream natural iron fertilization in the	2
Robinson J, Popova EE, Yool A, Srokosz et al. 	2014	How deep is deep enough? Ocean iron fertilization and carbon 	Ocean fertilization_Enhanced upwelling	https://apsis.mcc-berlin.net/scoping/document/WOS:000334983000034	Robinson J, Popova EE, Yool A, Srokosz et al. (2014) How deep is deep enough? Ocean iron fertilization and carbon	1
Salter I, Schiebel R, Ziveri P, Movel an A et al. 	2014	Carbonate counter pump stimulated by natural iron fertilization 	Ocean fertilization_Enhanced upwelling	https://apsis.mcc-berlin.net/scoping/document/WOS:000345915300016	Salter I, Schiebel R, Ziveri P, Movel an A et al. (2014) Carbonate counter pump stimulated by natural iron fertilization	2
Tremblay L, Caparros J, Lreblanc K &amp; Obernosterer I 	2015	Origin and fate of particulate and dissolved organic matter 	Ocean fertilization_Enhanced upwelling	not found	Tremblay L, Caparros J, Lreblanc K &amp; Obernosterer I (2015) Origin and fate of particulate and dissolved organic matter	0
Winckler G, Anderson RF, Jaccard SL &amp; Marcantonio F 	2016	Ocean dynamics, not dust, have controlled equatorial 	Ocean fertilization_Enhanced upwelling	https://apsis.mcc-berlin.net/scoping/document/WOS:000376784600029	Winckler G, Anderson RF, Jaccard SL &amp; Marcantonio F (2016) Ocean dynamics, not dust, have controlled equatorial	2
Xiu P, Thomas AC &amp; Chai F 	2014	Satel ite bio-optical and altimeter comparisons of phytoplankton blooms induced by 	Ocean fertilization_Enhanced upwelling	https://apsis.mcc-berlin.net/scoping/document/WOS:000335113200004	Xiu P, Thomas AC &amp; Chai F (2014) Satel ite bio-optical and altimeter comparisons of phytoplankton blooms induced by	1
Agee E, Orton A &amp; Rogers J 	2013	CO2 snow deposition in Antarctica to curtail anthropogenic global warming.  	DAC	https://apsis.mcc-berlin.net/scoping/document/WOS:000315470000001	Agee E, Orton A &amp; Rogers J (2013) CO2 snow deposition in Antarctica to curtail anthropogenic global warming.  Journal	2
Alkhabbaz MA, Bollini P, Foo GS, Sievers C &amp; Jones CW 	2014	. Important roles of enthalpic and entropic contributions 	DAC	not found	Alkhabbaz MA, Bollini P, Foo GS, Sievers C &amp; Jones CW (2014). Important roles of enthalpic and entropic contributions	0
Bhatt PM, Belmabkhout Y, Cadiau A, Adil K et al. 	2016	A fine-tuned fluorinated MOF addresses the needs for trace 	DAC	https://apsis.mcc-berlin.net/scoping/document/WOS:000380730000050	Bhatt PM, Belmabkhout Y, Cadiau A, Adil K et al. (2016) A fine-tuned fluorinated MOF addresses the needs for trace	1
Broehm M, Strefler J &amp; Bauer N 	2015	Techno-Economic Review of Direct Air Capture Systems for Large Scale 	DAC	not found	Broehm M, Strefler J &amp; Bauer N (2015) Techno-Economic Review of Direct Air Capture Systems for Large Scale	0
Darunte LA, Oetomo AD, Walton KS, Shol  DS &amp; Jones CW 	2016	. Direct air capture of CO2 using amine functionalized 	DAC	not found	Darunte LA, Oetomo AD, Walton KS, Shol  DS &amp; Jones CW (2016). Direct air capture of CO2 using amine functionalized	0
Didas SA, Choi S, Chaikittisilp W &amp; Jones CW 	2015	Amine-oxide hybrid materials for CO2 capture from ambient air. 	DAC	https://apsis.mcc-berlin.net/scoping/document/WOS:000363347900005	Didas SA, Choi S, Chaikittisilp W &amp; Jones CW (2015) Amine-oxide hybrid materials for CO2 capture from ambient air.	1
Gall ET &amp; Nazaroff WW 	2015	. New directions: Potential climate and productivity benefits from CO2 capture in 	DAC	not found	Gall ET &amp; Nazaroff WW (2015). New directions: Potential climate and productivity benefits from CO2 capture in	0
Goeppert A, Zhang H, Czaun M, May RB et al. 	2014	Easily regenerable solid adsorbents based on polyamines for 	DAC	https://apsis.mcc-berlin.net/scoping/document/WOS:000336249400019	Goeppert A, Zhang H, Czaun M, May RB et al. (2014) Easily regenerable solid adsorbents based on polyamines for	1
Kong Y, Shen X, Fan M, Yang M &amp; Cui S 	2016	Dynamic capture of low-concentration CO2 on amine hybrid 	DAC	https://apsis.mcc-berlin.net/scoping/document/WOS:000364247100109	Kong Y, Shen X, Fan M, Yang M &amp; Cui S (2016) Dynamic capture of low-concentration CO2 on amine hybrid	1
Kumar A, Madden DG, Lusi M, Chen KJ et al 	2015	Direct air capture of CO2 by physisorbent materials. 	DAC	https://apsis.mcc-berlin.net/scoping/document/WOS:000367724000029	Kumar A, Madden DG, Lusi M, Chen KJ et al (2015) Direct air capture of CO2 by physisorbent materials. Angewandte	1
